claim,label
The identify of the Dreyse acerate_leaf artillery 's succesor was likewise call Fusil Mle 1886 M93 .,SUPPORTED
In the 1990 's business_organization executive Petrie Dierman Kughn build one of the three John_Mill landmark in California in 1994 .,NOT_SUPPORTED
In the 1990 's Petrie Dierman Kughn build one of the three Mill landmark in California in 1994 .,SUPPORTED
Jem Finer was a banjo histrion in the set The Pogues .,SUPPORTED
Mashorey is located in Afghanistan .,SUPPORTED
Mashorey is locate in Paktika Province .,SUPPORTED
Mashorey is locate in southerly Afghanistan .,SUPPORTED
"Mario Mazzacurati win the 1936 South African Grand Prix with the Bugatti , a type of two door car that was establish in 1909 in the then German city of Molsheim , Alsace .",NOT_SUPPORTED
"Mario Mazzacurati get_ahead the 1936 South African Grand Prix with the Bugatti , a typecast of car that was institute in 1909 in the so German_language metropolis of Molsheim , Alsace .",SUPPORTED
"Bambi , is ground on a book by the Austrian writer Felix Salten , The Country Bears is not .",SUPPORTED
"Bambi , is establish on a book by the American source Felix Salten , The Country Bears is not .",NOT_SUPPORTED
"Bambi , is base on a Christian_Bible by the Austrian photographer Felix Salten , The Country Bears is not .",NOT_SUPPORTED
In the 2004 Hockey film bring_about by a erstwhile major league baseball hurler Kurt Russell play the USA private_instructor .,SUPPORTED
Gael and Fitness are not published in the Sami rural_area .,SUPPORTED
Blackstar is the key_out of the record_album discharge by David Bowie that was register in secret .,SUPPORTED
"Along with the New York Islanders and the New York Rangers , the New Jersey Devils NHL franchise is pop in the New York metropolitan country .",SUPPORTED
"Along with the New York Islanders and the New York Rangers , the New Jersey Devils NFL franchise is democratic in the New York metropolitan domain .",NOT_SUPPORTED
Robert Earl Holding own an anoint company that was earlier set_up by Harry F. Sinclair .,SUPPORTED
Philip Cortez and Julian Castro are democratic and not Republican .,SUPPORTED
The nationality of the dancer who partner Tom Chambers in the 6th season of purely Come Dancing is Danish .,SUPPORTED
The nationality of the terpsichorean who lay_out Tom Chambers in the fifth flavour of purely Come Dancing is Danish .,NOT_SUPPORTED
The nationality of the dancer who represent Tom Chambers in the one-sixth flavour of strictly Come Dancing is Danish .,SUPPORTED
The film The Book Thief was aim by Brian Percival is base on a ledger by Markus Zusak .,SUPPORTED
"The chairwoman of South Korea was digest 24 January 1953 . The Presidential Council on Nation Branding , Korea lie_in under his conduct ascendency .",SUPPORTED
Calochone and Adlumia are both implant .,SUPPORTED
"SM Lifestyle Cities development , presently existent in Pasay , is presently being consider for mall such as one in M.A. Roxas Avenue in Clark Freeport , Angeles City in Pampanga Philippines .",SUPPORTED
Tionne Watkins and Park So - yeon have both been appendage of a little_girl radical .,SUPPORTED
"The presidential campaign of Donald Trump bring out the full_term Vichy Republican on social medium and was officially set_up on June 16 , 2015 , at Trump Tower in New York City .",SUPPORTED
"Sir William James Ingram , 1st Baronet ( 27 October 1847 – 18 December 1924 ) was Managing Director of "" The Illustrated London News "" , which seem showtime on Saturday 14 May 1842 , as the world 's first instance hebdomadally news_show cartridge_clip , and come_out hebdomadary until 1971 .",SUPPORTED
"Sir William James Ingram , 1st Baronet ( 27 October 1847 – 18 December 1924 ) was Managing Director of "" The Illustrated London News "" , which appear first on Saturday 14 May 1842 , as the human_beings 's beginning illustrate hebdomadally news powder_store , and look hebdomadary until summertime 1971 .",NOT_SUPPORTED
"The ring who free "" Hooligan 's Holiday , "" retire in 2015 .",SUPPORTED
"The North exchange Town of Gainesville , Florida is dwelling to the touchwood rock_candy dance_band Against Me ! .",SUPPORTED
"The album that hold the Sung_dynasty "" start together "" by Madonna was in_the_main tape in the home studio_apartment of Stuart Price .",SUPPORTED
Both Upper Crust Pizzeria and Eatza Pizza are eating_place .,SUPPORTED
Diana Ross exist at 211 Central Park West .,SUPPORTED
rounder is the film that John Gavin Malkovich had act in with Matt Damon and Edward Norton .,SUPPORTED
"The contraband funniness subsequence to "" leave Sarah Marshall "" asterisked an Aussie actress Rose Byrne .",SUPPORTED
"September 8 , 2010 is the year precise date that the Linkin Park album with the strain "" Wretches and Kings""was   unblock .",SUPPORTED
The motion-picture_show Christopher Robin have more writer than the film Splash .,SUPPORTED
Peter Chelsom was the manager of the 2001 American romantic comedy film write by Marc Klein in which Lucy Gordon get a small part .,SUPPORTED
Peter Chelsom was the director of the 2001 American_language amorous clowning movie compose by Marc Klein in which Lucy Gordon birth a modest character as an bravo .,NOT_SUPPORTED
camp Half - rake Chronicles is the name of the maiden new in the trilogy that forego The Heroes of Olympus .,NOT_SUPPORTED
encampment Half - ancestry Chronicles is the list of the first novel in the series that come_before The Heroes of Olympus .,NOT_SUPPORTED
campy Half - blood Chronicles is the figure of the first book in the trilogy that precede The Heroes of Olympus .,NOT_SUPPORTED
bivouac Half - rip Chronicles is the name of the starting_time script in the series that precede The Heroes of Olympus .,SUPPORTED
"The American lyrist Tom Jones ,   bear in 1928 , Colorado - author the screenplay for the musical pic The Fantastics .",NOT_SUPPORTED
"The American author Tom Jones ,   carry in 1928 , carbon_monoxide_gas - author the screenplay for the musical moving-picture_show The Fantastics .",NOT_SUPPORTED
"The American lyrist Tom Jones ,   contain in 1928 , carbon_monoxide_gas - write the screenplay for the musical film The Pajama Game .",NOT_SUPPORTED
"The American lyricist Tom Jones ,   brook in australia , CO - write the screenplay for the musical_comedy film The Fantastics .",NOT_SUPPORTED
"The American lyrist Tom Jones ,   gestate in 1928 , Co - write the screenplay for the musical flick The Fantastics .",SUPPORTED
Both Corydalis and Cedrus are classified as genus in the distinguish system .,SUPPORTED
Dacryopinax spathularia is include in the lulu Buddha 's enthral that is too sometimes call Luóhàn cài .,SUPPORTED
Nicotiana nor Encyclia are genus of ache Sir_Herbert_Beerbohm_Tree .,SUPPORTED
Unchained Memories was the documental stool before The Shame of a City .,SUPPORTED
Brits keep_company BBC was take in record the audiobook for the account_book screw as The Golden Compass in North America .,SUPPORTED
The actress who was kill off along with Sonny was a role_model and yoga instructor .,SUPPORTED
The English actor and cinema producer who besides asterisk in an adjustment with Renee Zellweger was bear in 1960 .,SUPPORTED
Jeremy Brock is the writer and manager of this 2011 play that was conform from him and Rosemary Sutcliff .,SUPPORTED
Mark 's Pizzeria and Patxi 's Chicago Pizza rich_person the action establish in vulgar .,SUPPORTED
"Farmers ' Alliance was the organize agrarian economic movement among American_language Farmer that was subscribe by the each_week leave - fender political newspaper , invoke to Reason .",SUPPORTED
Dusty Dvoracek was the former nose rigging that annunciate ESPN College Football Friday Primetime in 2017 .,SUPPORTED
The football team_up that Aaron Galindo is currently a section of was found in 1928 in New York state .,NOT_SUPPORTED
The football squad that Aaron Galindo is presently a separate of was base in 1928 .,SUPPORTED
"The Guardians of the Galaxy , are a fictitious spaceflight superhero team , appear in American_English laughable book_of_account write by Marvel Comics . Until it was break_off due to low sale in 1983 , it hold an an initial roll , include fancied superhero , Groot , who foremost appear in "" Tales to Astonish "" # 13 ( November 1960 ) .",NOT_SUPPORTED
"The Guardians of the Galaxy , are a fancied space_travel superhero team , appear in American laughable hold publish by Marvel Comics .   It stimulate an an initial roll , let_in fictional superhero , Groot , who number_one come_along in "" Tales to Astonish "" # 13 ( November 1960 ) .",SUPPORTED
Carlo Buccirosso have a role in a moving-picture_show that premiere at Cannes Film Festival .,SUPPORTED
The 2018 Texas gubernatorial election will take put on the Saame daytime as the United States Senate election in Texas .,SUPPORTED
Roissy Airport unite to Paris and city in France As advantageously as to Belgium .,SUPPORTED
Roissy Airport unite to Paris and metropolis in Brooklyn Park As well as to Belgium .,NOT_SUPPORTED
"A expectant dispersion center is for a fellowship with over 13,000 store and PetSmart , a detent plaything maker .",NOT_SUPPORTED
"A big distribution center is for a company with over 13,000 store and PetSmart .",SUPPORTED
Emory University was ground before Vanderbilt University .,SUPPORTED
"Barclay Henley was expect in a city whose universe at the 2010 census was 7,585 .",SUPPORTED
Composer Franz Schreker was too a teacher but Philip Glass was not .,SUPPORTED
The switch slang name for the World War I era grenade that the orchis grenade was less clumsy than to handle was the tater wolf .,SUPPORTED
"The host of the American_English survival_of_the_fittest acquirement reality show , The Island , was to_begin_with from Northern Ireland .",SUPPORTED
"In the 2009 the Major League Soccer All - Star Game , American musician Tim Howard , who bring for Colorado Rapids , save three kick in the gunplay .",SUPPORTED
"In the 2009 the Major League Soccer All - Star Game , American_language participant Tim Howard , who recreate for Philadelphia , save three gripe in the shootout .",NOT_SUPPORTED
Édouard Roger - Vasselin come_through a Grand Slam double backing before Heather Watson .,SUPPORTED
The electric_current job of the quondam married_person in ice-skating_rink skating of Vladimir Fedorov is presently mould as a double-decker and choreographer .,SUPPORTED
Gleanntáin Ghlas ' Ghaoth Dobhair is a Sung_dynasty that can be learn in pub certify to serve alcoholic pledge .,SUPPORTED
"The Seacoast Region is the region that include the urban_center Dover and Portsmouth , New Hampshire .",SUPPORTED
Sachem Central School District cover the CDPs that let_in the village in the New York county of Suffolk .,SUPPORTED
Australian Broadcasting Corporation melodic_line the cartoon develop by Nicholas Boshier .,SUPPORTED
"Arizona State Route 51 ( steradian 51 ) is nominate after a aborigine American char belong to the 
 Hopi kindred .",SUPPORTED
"Arizona State Route 51 ( Sr 51 ) is identify after a aboriginal American_English cleaning_woman belong to the 
 indigene American clan .",NOT_SUPPORTED
"The Silver Nugget is a cassino and arena situated in a major city that was incorporated on May 16 , 1946 .",NOT_SUPPORTED
"The Silver Nugget is a casino and sphere located in a city that was incorporate on May 16 , 1946 .",SUPPORTED
Edith Louisa Cavell   was the woman whose capital_punishment for treason by German terminate squad was the reason for Prussian Generalleutnant ( Lieutenant General ) Traugott von Sauberzweig 's substitution as Military Governor of Brussels in 1915 .,SUPPORTED
Additi Gupta is be_intimate for negative role in the drama series that air on Amerindic nation 's Star Plus net .,SUPPORTED
The Hôtel de Crillon is locate on The Place de la Concorde in Paris .,SUPPORTED
Hong Kong Macau cultural substitute was a get_off that prove Macau subject protection law who 's function was to live_up_to Article 23 of the Macau Basic Law .,SUPPORTED
Hong Kong Macau ethnic bookman exchange was a stumble that tried Macau home security jurisprudence who 's role was to execute Article 23 of the Macau Basic Law for national safe .,NOT_SUPPORTED
"Heinrick Palmgren host a indicate call_up Red Ice Radio , which has boast David Of me , who was bear in the yr 1952 .",SUPPORTED
"Heinrick Palmgren emcee a cabal theory show hollo Red Ice Radio , which has feature David Of me , who was have in the year 1952 .",NOT_SUPPORTED
Grigoryevich was the middle list of the pianist who initiative perform Prokofiev 's Piano Sonata no . 8 .,SUPPORTED
Grigoryevich was the middle identify of the present winning piano_player who start execute Prokofiev 's Piano Sonata No . 8 in 1859 .,NOT_SUPPORTED
centre on My sleeve is a birdsong outset tape by Australian Singer Michael Johns .,SUPPORTED
heart on My sleeve is a Sung_dynasty start free by Australian vocaliser Michael Johns .,SUPPORTED
spunk on My sleeve is a call first issue by Aussie vocaliser Michael Johns in 1982 .,NOT_SUPPORTED
"The three respectable trafficker from Arthur Hailey that were release after Donna Tartt was carry are "" hotel "" ( 1965 ) , "" Airport "" ( 1968 ) , "" bicycle "" ( 1971 ) .",NOT_SUPPORTED
"The three well Sellers from Arthur Hailey that were free before Donna Tartt was expect are "" hotel "" ( 1965 ) , "" Airport "" ( 1968 ) , "" wheel "" ( 1971 ) .",SUPPORTED
The motion_picture Restrepo and Hoop Dreams are both documentary_film .,SUPPORTED
"Republican Chairman Gregg Harper was bear June 1 , 1956 .",SUPPORTED
One of the host of Newsday from Washington was hold on the 14 November 1964 .,SUPPORTED
One of the host of weekend even show Newsday from Washington was put_up on the 14 November 1964 .,NOT_SUPPORTED
"U.S. Route 95 ( US 95 ) is a major four - lane U.S. main_road get_over the U.S. say of Nevada from North to due_south locomote through Reno , Nevada .",NOT_SUPPORTED
"U.S. Route 95 ( US 95 ) is a John_Roy_Major U.S. highway cut_across the U.S. State of Nevada from North to Confederacy travel through Reno , Nevada .",SUPPORTED
"The garden urban_center movement is a method of urban design in which ego - curb community are fence_in by "" greenbelt "" , hold_back proportionate orbit of abode , industry , and agriculture , the theme was originate in 1898 by Sir Ebenezer Howard , ( 29 January 1850 – 1 May 1928 ) , the English_people give_way of the garden city movement , is do_it for his smut publication , in the class 1898 .",NOT_SUPPORTED
"The garden metropolis drift is a method_acting of urban project in which self - stop community are environ by "" greenway "" , hold harmonious area of residence , industry , and agribusiness , the estimation was start in 1898 by Sir Ebenezer Howard , ( 29 January 1850 – 1 May 1928 ) , the English_language give_way of the garden urban_center effort , is experience for his issue , in the year 1898 .",SUPPORTED
"Fiske O'Hara was have in the metropolis Rockland of Knox County , Maine , that have a universe of 2,297 as of the 2010 nose_count .",SUPPORTED
"The 2001 comedy picture Sugar & Spice , point by Francine McDougall , the director of "" sound figure "" ( 2005 ) , follow a chemical_group of high schooltime cheerleader who trust an armed robbery and are condemn to death for their offence .",NOT_SUPPORTED
"The 2001 clowning flick Sugar & Spice , manoeuver by Francine McDougall , the film_director of "" ecstasy figure "" ( 2005 ) , follow a group of high_up school cheerleader who place an armed robbery .",SUPPORTED
The quondam Los Angeles Lakers legal_age possessor Gerald Hatten Buss is the male_parent of Jeanie Marie Buss .,SUPPORTED
The old Los Angeles Lakers absolute_majority proprietor Vlade Divac is the begetter of Jeanie Marie Buss .,NOT_SUPPORTED
The General Survey Act was spend soon after the Supreme Court determination that discuss interstate_highway commerce .,SUPPORTED
"The Isaac_Bashevis_Singer of the song Love Crime is English , expect in Barnsley .",NOT_SUPPORTED
The singer of the vocal Love Crime is English .,SUPPORTED
Katie Cassidy play the fictitious role Ruby in Supernatural .,SUPPORTED
My First Mister Co - mavin an role_player who was best know for his office as the eccentric John Dehner on the telly series Roseanne .,NOT_SUPPORTED
My First Mister cobalt - star an player who was considerably know for his function as the eccentric Dan Conner on the telly serial Roseanne .,SUPPORTED
"The metafamily of in_writing operate system developed , commercialise , and trade by Microsoft offer computer_software for whistle educate .",SUPPORTED
"The metafamily of graphical operate system develop , market , and sell by Microsoft pop_the_question package for operatic singing prepare .",NOT_SUPPORTED
"The source of "" We Were soldier in_one_case … And Young "" receive the Distinguished Coast Guard military medallion for valiancy .",NOT_SUPPORTED
"The writer of "" We Were soldier erstwhile … And Young "" receive the Distinguished Service Cross military_machine decoration for heroism .",SUPPORTED
Rob VanAlkemade was bear in Bergen County .,SUPPORTED
Greek Fire uprise in a more southern location than Billy Corgan 's band The Smashing Pumpkins .,SUPPORTED
The author and director of the cinema The Tree of Life is American .,SUPPORTED
"Marvel Classics Comics specialize in adaptation of literary classic , such as a novel by American writer Herman Melville , that was release in 1851 .",SUPPORTED
"Marvel Classics Comics specialized in adaptation of literary classic , such as a novel by American writer Herman Melville , that was publish in Canada in 1851 .",NOT_SUPPORTED
The production company that is CO - owned by Kevin Loader and Rodger Michell and create My Cousin Rachel is Free Range Films .,SUPPORTED
The publishing_company Marvel farm the funny record_book feature both Spider - Man and the Daredevils .,SUPPORTED
"The comedian who host the 25th TCA Awards was wear on February 25 , 1975 .",SUPPORTED
"The interpreter actress in the quicken moving_picture Alpha and omega voice the character   Kairi in the telecasting game serial "" Kingdom Hearts "" .",SUPPORTED
"Brigadier Stanley James Ledger Hill was sequester to the program_line carry of elder British Army military_officer Lord Gort pay on July 10 , 1886 .",SUPPORTED
Shengzhou have more early diagnose than Linchuan District .,SUPPORTED
Douglas county in Minnesota support a 202 pound slab of greywacke cover in run .,SUPPORTED
The Blueprint is the diagnose of the record_album by Jay - Z that was release in 2001 and is rate by Rolling Stone among the 500 peachy album of all time .,SUPPORTED
The metropolis that Saint Paul School of Theology and United Methodist Church of the Christ's_Resurrection take in unwashed is Kansas .,SUPPORTED
"Human Error "" is the season finis of the tierce season of a idiot_box point that air on the Fox meshing .",SUPPORTED
Ballota and Myosotis are not both evergreen .,SUPPORTED
The Kansas – Nebraska Act create the terrirtories of Kansas and Nebraska and was combat by the Republican Party .,SUPPORTED
Ghettopoly was liberate before Kolejka .,SUPPORTED
In the twelvemonth 2016 the team that Jonathan Spector link in 2006 move to its new home .,SUPPORTED
"The New York and New Jersey movement was a serial of conflict during the Revolutionary War for command of New York City and the posit of New Jersey , fight on October 28 , 1776 near White Plains , New York .",SUPPORTED
Shirley Collado is the chairwoman of the college set in New York state .,SUPPORTED
Shirley Collado is the president of the Queens college settle in New York state_of_matter .,NOT_SUPPORTED
Michael Akerfeldt and Lee Ranaldo were guitar_player in their respective banding .,SUPPORTED
Don Henley and Morrissey are both vocalist and songwriter .,SUPPORTED
The principal of Into The Homeland play Lamar Wyatt on the telly point Nashville .,SUPPORTED
Boy Hits Car induce more studio_apartment album than The Invisible .,SUPPORTED
"Rex Salas is an American record producer who ferment with an American Isaac_Bashevis_Singer and actress who has been distinguish as embody female self-direction in a manlike - prevail diligence , and is sometimes touch to as Goddess of Pop .",SUPPORTED
Toshi and Warrel Dane are not both in the dance_band Sanctuary .,SUPPORTED
"Origin of werewolf caption , Count Dracula , was portray by Bela Lugosi .",SUPPORTED
The Voyage is a wooden tumbler coaster set at a musical_theme park disunite into four subdivision .,SUPPORTED
"John Constantine is the fictional antihero from comic Bible bring_out by DC Comics , who sometimes move as a cab operator , and was create by Alan Moore , Steve Bissette , and John Totleben .",NOT_SUPPORTED
"John Constantine is the fictional antihero from comical Word_of_God published by DC Comics , who sometimes act as a cab driver , and was create by Don Simpson , Steve Bissette , and John Totleben .",NOT_SUPPORTED
"John Constantine is the fancied antihero from comical playscript write by DC Comics , who sometimes act_as as a hack driver , and was produce by Alan Moore , Stephen Bissette , and John Totleben .",NOT_SUPPORTED
"John Constantine is the fictional antihero from comic Word_of_God publish by DC Comics , who sometimes roleplay as a cab driver , and was create by Alan Moore , Steve Bissette , and John Totleben .",SUPPORTED
The Sung Highwayman   write by Jimmy Webb inspire the describe of a supergroup include Johnny Cash .,SUPPORTED
Paul Day was not in more ring than the come of team_up Marcus Cooper act for .,SUPPORTED
Bostonian Chris Anderson found both the Sapling Foundation and Future Publishing .,NOT_SUPPORTED
Chris Anderson institute both the Sapling Foundation and Future Publishing .,SUPPORTED
"Francis Leighton was warden of All Souls College , University of Oxford , England .",SUPPORTED
"Abbottsburg was nominate for Joseph Carter Abbott , United_States_President of the Cape Fear Building Company and veteran of the American Civil War .",SUPPORTED
"The Spice Girls were an English pop daughter group formed in the summer of 1994 , the group primitively consist of Geri Halliwell ( "" Ginger Spice "" ) , Geraldine Estelle "" Geri "" Horner is an English pop_out singer - ballad_maker , cloak decorator , author and actress , endure 6 August 1972 .",NOT_SUPPORTED
"The Spice Girls were an English pop little_girl radical shape in 1994 , the chemical_group earlier dwell of Geri Halliwell ( "" Ginger Spice "" ) , Geraldine Estelle "" Geri "" Horner is an English tonic Singer - songster , garb designer , author and actress , hold 6 August 1972 .",SUPPORTED
Quietdrive and Supergrass are both rock set .,SUPPORTED
"Robert Smigel , Michael Koman and David Feldman produce the designate that feature Triumph the Insult Comic Dog .",SUPPORTED
"Robert Smigel , Clark Gable and David Feldman make the picture that featured Triumph the Insult Comic Dog .",NOT_SUPPORTED
"The political party , which along with the Socialist Workers Movement are the chief contributor to the United Left in Argentina , was constitute in Argentina .",SUPPORTED
"The redress - wing political party , which along with the Socialist Workers Movement are the tribal_chief contributor to the United Left in Argentina , was establish in 1918 .",NOT_SUPPORTED
"The political party , which along with the Socialist Workers Movement are the main contributor to the United Left in Argentina , was plant in 1918 .",SUPPORTED
