claim,label
"Among the success of the Franz Kafka Prize is Margaret Atwood , a Canadian poet and novelist who write The Handmaid 's Tale .",SUPPORTS
"Rasbora naggsi is a genus sort_out within the family Cyprinidae , in the society Cypriniformes .",REFUTES
New Music Download podcast which work between January and June 2008 supersede the 40 - exhibit Slashmusic podcast that lead between August 2006 and June 2007 ; Tom Ravenscroft was the American radio_set presenter for both .,SUPPORTS
"Dr. Qadir go on hunger smasher when in prison_house and give_up when he could arrest his demand ; then he was relinquish from custody on January 25 , 2006 , as a resolution of effort by especial emissary of the Austrian foreign ministry , Gudrun Harrer , a diary_keeper .",SUPPORTS
"Cameroon   list three by_all_odds endangered voice_communication , 13 severely scupper , and 16 critically scupper from among its at to_the_lowest_degree 250 speech .",NOT ENOUGH INFO
"finish the hasten at 2:00 3/5 , Proud Clarion ( January 19 , 1964 – December 17 , 1981 ) , an American Thoroughbred bangtail , was the riotous horse in the 1967 Kentucky Derby .",SUPPORTS
"Yingkoudong or Yingkou East , locate in Jinzhou , Liaoning , China , is engage by China Railway Corporation with Beijing – Harbin , Panjin – Yingkou , and Harbin – Talien strain .",REFUTES
"The Long Range Mountains is turn_up in the state of Newfoundland and Labrador , Canada in Appalachian Mountains ( organization of deal in easterly North America ) and its acme is 814 meter .",SUPPORTS
"Baume , deliver "" Friedrich Baume "" in 1862 in Dunedin , a city in New Zealand , was admit to the debar in 1884 and calibrated with a Bachelor of Law in 1891 .",SUPPORTS
"Within the Bhadrak territory , Prafulla Samal make_up the Bhandaripokhari , Bonth block which was create in 1974 .",SUPPORTS
"The Little Egret by Austen is lost in its surroundings ; the plate never lack atmosphere , notwithstanding lots it may have invoke to the ornithologist .",SUPPORTS
"Yeo Vale was to_begin_with possess by the at Yeo family_line , who fill their cognomen from the estate , but it end up lapse to the Giffard sept through wedding , and it is located in the lowly Greenwich_Village of Alwington which presently have a universe of 400 .",REFUTES
Ryan Mathews of the 2003 Kansas State Wildcats football team post a eminent rush average than his teammate Ell Roberson .,NOT ENOUGH INFO
"bear December 30 , 1974 , William Frick was a colored horse candidate in the Maryland House of Delegates appointment procedure .",SUPPORTS
"Eunice Olsen was a CO - host on the Wheel of Fortune in the 2002 - 2003 harden , and has ready many video and picture_show appearance since then , include her stream host position on Womentalk TV .",SUPPORTS
"Some of the sediment of the Discovery Seamounts ( a mountain_chain of seamount in the Southern Atlantic Ocean , which admit the Discovery Seamount ) look to be trash - raft dust , and other evidence has been secondhand to ask that the seamount sink by about 0.5 km during the tardily Pleistocene , with the impertinence underneath Discovery Seamount is about 67 million geezerhood old , gum_olibanum of deep Cretaceous years .",SUPPORTS
"Ortegal have three multicipalitys with a total population of 12,238 in 2018 , one of which was cry Cerdido .",REFUTES
"Stefan Kahil Lessard ( hold on June 4 , 1974 outside Anaheim , California ) nail his next-to-last year of high cultivate , put_across the GED examination in the summer of 1991 , and was bear into the Jazz Studies platform at Virginia Commonwealth University .",REFUTES
Artjoms Rudņevs represent football for seven gild during his 12 yr professional_person career .,SUPPORTS
"The 1928 Summa was disclose on September 21 , 1938 and is name after the Battle of Summa .",SUPPORTS
"Michael McCafferty was the President of EDP and , in its first six month of business_organization , the keep_company find_out a half million clam lucre .",REFUTES
"Every Where Is Some Where , the instant and major label launching studio record_album by K.Flay , receive a positive rating from AllMusic and a 67 out of 100 valuation from Metacritic .",SUPPORTS
"The national historical district resource near Winnsboro were build_up between about 1883 and about 1945 ; include the Anderson and Rion Quarry web_site , commercial construction and construction consort with granite quarry and finishing operation .",REFUTES
"American Peter Gabel gradatory from Deerfield Academy and , subsequently , earn his degree from Harvard University .",REFUTES
"In Josh Ruffels ( stand 23 October 1993 ) appearing and goal by nine , time_of_year and rival let_in the Coventry City and Oxford United cabaret in which the career total apps is 268 and destination is 14 .",SUPPORTS
"Mila Kajas grade place 1st in the Winter Olympics in 1993 - 94 , and she aim first_gear in the National Finnish Championships in 1990 - 91 , 1991 - 92 , 1992 - 93 , and 1995 - 96",REFUTES
Nilgiri tahr ( an ungulate that is endemic to the Nilgiri Hills ) is part of the Bovidae family in the Animalia Kingdom .,SUPPORTS
"Tholing , place in Zanda county in China , sit_down at an aggrandizement of 3,660 meter and birth a few poplar_tree tree in town .",REFUTES
Alan Lowry solely wager game with his close congeneric in his intact life_sentence .,NOT ENOUGH INFO
The Season of Men is a film organize and cobalt - write by Moufida Tlatli and is useable in Arabic only .,REFUTES
Giancarlo Zampieri ( Father_of_the_Church of Daniel Zampieri ) buy BVM - Target Racing Formula Renault 3.5 Series arm on 2013 and was rename to Zeta Corse .,SUPPORTS
"WBGX send in R&B music format in 1955 , and presently induce an all - gospel formatting when Great Lakes Radio purchase it in 2003 , with some interim music transfer in intercede year .",SUPPORTS
WBCW ( a radiocommunication post circulate a Contemporary christian format ) cause the frequence 89.7 Mc and is possess by an individual .,REFUTES
"DisGeNET , one of the heavy and comprehensive_examination monument of human gene - disease tie-up ( GDAs ) currently available , is an opened access resource that make uncommitted a comprehensive_examination knowledge found on disease gene and is available through a Cytoscape plugin , as colligate data for the Semantic Web .",SUPPORTS
Bṛhaspati make four reference that bill the judge time per sidereal rotation .,SUPPORTS
"Vespro della Beata Vergine , Vespers for the Blessed Virgin , make seven Versus out of 15 part .",REFUTES
"Humphrey Henchman was constitute canon of Salisbury Cathedral in 1610 and was late expel from his put , he alsoh elped the time_to_come Charles II to safety_valve the nation .",REFUTES
The Highland Adventist School command all student to accept art history class each year which breed theme in biblical account and christian and denominational school_of_thought .,REFUTES
The 1796 Battle of Lopate between Montenegro and the Ottoman Empire lead in a draw_and_quarter .,SUPPORTS
"One of the team that Clemson Tigers football team defeat in 1910 was South Carolina Gamecocks football team , which get a platter of 4–4 in that football_game event .",SUPPORTS
"Augustus Lutheran Church ( 717 West Main Street in Trappe , Pennsylvania ) area was settle by Germans in 1717 the foremost church their cost 200 pound sterling and the inside appointment were fictitious by local stuff",SUPPORTS
"Bird Girl 's bring_up 's want to wed her off , but she get_away as she does not want to acquire fraught in Bird Girl and the man Who follow the Sun .",SUPPORTS
"Phoronid is a marine squirm that admit coinage such as phoronis ovalis which is found in shoal water in the Atlantic Ocean , and phoronopsis californica which is ground in California .",SUPPORTS
