claim,label
The composer of Longplayer was a banjo player and vocalizer in the stripe The Pogues .,NOT_SUPPORTED
"This 1938 pic is base on a book by the Austrian source Felix Salten , The Country Bears is not . The pic was furbish_up and uphold by John D. Lowry .",NOT_SUPPORTED
"This flick is ground on a Book by the Austrian author Felix Salten , The Country Bears is not . The flick was furbish_up and continue by John D. Lowry .",SUPPORTED
"This picture_show is base on a script by the Austrian author Faline , The Country Bears is not . The movie was mend and keep by John D. Lowry .",NOT_SUPPORTED
"This film is based on a rule_book by the High_German generator Felix Salten , The Country Bears is not . The pic was touch_on and preserve by John D. Lowry .",NOT_SUPPORTED
Dollar Days was the sixth chase on Bowie 's twenty - twenty_percent and final studio record_album . The album that was release was read in confidential .,SUPPORTED
Dollar Days was a track on Bowie 's twenty - fifth and final_examination studio_apartment record_album . The record_album that was liberate was record in secret .,SUPPORTED
Dollar Days was the sixth rails on award deliver_the_goods Bowie 's twenty - fifth and terminal studio_apartment record_album . The album that was secrete was recorded in surreptitious .,NOT_SUPPORTED
"A hockey team_up name Madison Square Garden it 's rest_home . That squad , along with the New York Islanders , and the New Jersey Devils the Metropolitan Division of the Eastern Conference enfranchisement , are democratic in the New York metropolitan area .",NOT_SUPPORTED
"A field_hockey team call the 70,000 capacity Madison Square Garden it 's home . That team , along with the New York Islanders , and the New Jersey Devils NHL franchise , are popular in the New York metropolitan expanse .",NOT_SUPPORTED
"A ice_hockey squad yell Madison Square Garden it 's home . That squad , along with the New York Islanders , and the New Jersey Devils NHL dealership , are pop in the New York metropolitan domain .",SUPPORTED
The Georgia man unseat by Rick Galindo and Julian Castro are Democratic and not Republican .,NOT_SUPPORTED
The somebody unseat by Rick Galindo and Julian Castro are democratic and not Republican .,SUPPORTED
The man unseat by Rick Galindo and Julian Castro are Democratic and not Republican .,SUPPORTED
The gentleman unseat by Rick Galindo and Julian Castro are popular and not Democratic .,NOT_SUPPORTED
"The film The Book Thief , discharge in 1990 , was aim by Saame director of the take About a lady_friend . The Book Thief is ground on a book by Markus Zusak .",NOT_SUPPORTED
The plastic_film The Book Thief was direct by Sami conductor of the film About a girl . The Book Thief is establish on a book by Markus Zusak .,SUPPORTED
The Chief_Executive of South Korea was put_up 24 January 1953 . The group that Vietnam - bear Euh Yoon - Dae was Chairman of lie under his point control .,NOT_SUPPORTED
The President_of_the_United_States of South Korea was hold 24 January 1953 . The group that Euh Yoon - Dae was Chairman of lie under his aim insure .,SUPPORTED
The writer of the birdsong Girl tattle and birdsong - writer Park So - yeon have both been member of a girl aggroup .,NOT_SUPPORTED
The writer of the song Girl Talk and Park So - yeon have both been fellow_member of a missy group .,SUPPORTED
The writer of the Song Girl Talk and Park So - yeon have both been member of a lady_friend group .,SUPPORTED
The writer of the Sung Girl Talk and Park So - yeon have both been member of a aggroup .,SUPPORTED
The North primal townsfolk that license WCJB - TV is domicile to the punk_rock stone band Against Me ! organize in 1991 .,NOT_SUPPORTED
The North cardinal Ithiel_Town that license WCJB - TV is menage to the medicine isthmus Against Me ! .,SUPPORTED
The Mars Ithiel_Town that license WCJB - TV is abode to the hood careen band Against Me ! .,NOT_SUPPORTED
The North primal townsfolk that certify WCJB - TV is interior to the chintzy rock band Against Me ! .,SUPPORTED
"The film . in which David Zayas take_on Francis Ford Coppola the cop , is the pic that John Gavin Malkovich had dally in with Matt Damon and Edward Norton .",NOT_SUPPORTED
"The movie . in which David Zayas wreak Osborne the pick_up , is the movie that John Gavin Malkovich had play in with Matt Damon and James Moll .",NOT_SUPPORTED
"The motion_picture . in which David Zayas played Osborne the cop , is the motion_picture that John Gavin Malkovich had not fiddle in with Matt Damon and Edward Norton .",NOT_SUPPORTED
"The moving-picture_show . in which David Zayas take_on Osborne the thieve , is the moving-picture_show that John Gavin Malkovich had appear as a waiter in with Matt Damon and Edward Norton .",NOT_SUPPORTED
"The picture . in which David Zayas play Osborne the collar , is the moving_picture that John Gavin Malkovich had play in with Matt Damon and Edward Norton .",SUPPORTED
"The movie . in which David Zayas play Osborne the snitch , is the moving-picture_show that John Gavin Malkovich had play in with Morgan Freeman and Edward Norton .",NOT_SUPPORTED
"The motion-picture_show . in which David Zayas represent in , is the flick that John Gavin Malkovich had play in with Matt Damon and Edward Norton .",SUPPORTED
"The 2005 black funniness continuation to "" leave Sarah Marshall "" asterisk an Australian actress who start in the 2003 plastic_film "" The cult in Placid Lake "" alongside Ben Lee .",NOT_SUPPORTED
"The inkiness drollery subsequence to "" bury Sarah Marshall "" star an British actress who start in the 2003 picture_show "" The craze in Placid Lake "" alongside Ben Lee .",NOT_SUPPORTED
"The smutty comedy sequel to "" bury Sarah Marshall "" asterisk an Aboriginal_Australian actress who depart in the 2003 shoot "" The madness in Placid Lake "" alongside Ben Lee .",SUPPORTED
"The opprobrious comedy sequel to "" forget Sarah Marshall "" star an Aboriginal_Australian actress who did n't maven in the 2003 film "" The rage in Placid Lake "" alongside Ben Lee .",NOT_SUPPORTED
"The funniness sequel to "" forget Sarah Marshall "" star an Australian actress who start in the 2003 film "" The rage in Placid Lake "" alongside Ben Lee .",SUPPORTED
The movie Christopher Robin have few writer than the 1984 moving-picture_show that Mermaid Got Married was base on .,NOT_SUPPORTED
The film Christopher Robin have Thomas_More author than the 1980s celluloid that Mermaid Got Married was base on .,SUPPORTED
The cinema Christopher Robin hour_angle six More author than the 1984 film that Mermaid Got Married was base on .,NOT_SUPPORTED
The film Christopher Robin get more writer than the 1984 celluloid that Mermaid Got Married was based on .,SUPPORTED
camp_down Half - blood Chronicles is the name of the first rule_book in a serial . That series precede The Demigod Diaries in 2012 .,NOT_SUPPORTED
camp Half - blood Chronicles is the name of the offset book in a series . That series precede The Demigod Diaries .,SUPPORTED
Olympus is the identify of the first_base playscript in a series . That series preface The Demigod Diaries .,NOT_SUPPORTED
"An American_language lyrist , bear in 1928 , Co - save the screenplay for the musical_comedy motion_picture The Fantastics . The lyrist CO - drop_a_line the Magic Band musical_theater "" Philemon """,NOT_SUPPORTED
"An Urdu lyrist , abide in 1928 , CO - write the screenplay for the musical_theater film The Fantastics . The lyricist Co - spell the Off - Broadway melodious "" Philemon """,NOT_SUPPORTED
"An American_language lyrist , assume in 1928 , Colorado - write the screenplay for the musical motion-picture_show The Fantastics . The lyricist carbon_monoxide - write the Off - Broadway musical_theater "" Philemon """,SUPPORTED
"An American lyricist , have in 1928 , cobalt - write the screenplay for the musical shoot the "" Best musical_theater "" . The lyrist CO - write the Off - Broadway musical "" Philemon """,NOT_SUPPORTED
"1 : Parnassius nordmanni is a high altitude butterfly which is feel the Caucasus . 2 : The larva feed on a species include "" C. alpestris "" , "" C. conorhiza "" and "" C. emanueli "" . 
 3 : That specie and Cedrus are sort as genus in the key system .",SUPPORTED
"1 : Parnassius nordmanni is a romance which is discover the Caucasus . 2 : The larva feed on a metal_money include "" C. alpestris "" , "" C. conorhiza "" and "" C. emanueli "" . 3 : That mintage and Cedrus are classify as genus in the naming system .",SUPPORTED
The plant unremarkably touched by   Rhodococcus fascians is a genus of pine tree . Encyclia   is A good .,SUPPORTED
The institute commonly stirred by Rhodococcus fascians is a genus of northerly pine Tree . Encyclia is antiophthalmic_factor advantageously .,NOT_SUPPORTED
Unchained Memories was the flick progress_to before film_producer Tigre Hill 's offset documentary_film .,SUPPORTED
Unchained Memories was the documentary cause before film_producer Tigre Hill 's first documentary .,SUPPORTED
Unchained Memories was the illustrious objective hold before movie_maker Tigre Hill 's outset objective .,SUPPORTED
The director of this 2011 drama that was adapted from him and Rosemary Sutcliff is as_well a writer . He write the picture_show rightful Crimes .,SUPPORTED
The director of this 2011 play that was adjust from him and Rickman is also a writer . He write the moving-picture_show rightful Crimes .,NOT_SUPPORTED
The theatre_director of this 2011 clowning - drama that was accommodate from him and Rosemary Sutcliff is likewise a writer . He publish the moving_picture true Crimes .,NOT_SUPPORTED
"Farmers ' Alliance was the organize agricultural economic movement among American granger . It was hold by the hebdomadary leave - wing political paper , that was promulgated by Julius Wayland .",SUPPORTED
"Farmers ' Alliance was the organize agricultural economical move among Christian Farmer . It was bear_out by the hebdomadal leave - annexe political newspaper , that was published by Julius Wayland .",NOT_SUPPORTED
Liberal Arts school_day Emory University was launch before the school that William Ridley Wills is a postgraduate of .,NOT_SUPPORTED
Emory University was institute before the schooltime that William Ridley Wills is a alumnus of .,SUPPORTED
Emory University was found before the schooltime that William Ridley Wills take_care .,SUPPORTED
"He was bear in a city whose population at the 2010 census was 7,585 . His father was Representative Thomas J. Henley .",SUPPORTED
He was bear in a metropolis whose population at the 2010 nosecount was in the 7500s . His father was Representative Thomas J. Henley .,SUPPORTED
"Composer Franz Schreker was as_well a instructor but the composer , who American Violinist Tim Fain is good acknowledge for on_the_job with ,   was not",SUPPORTED
"Composer Franz Schreker was too a teacher but the composer , who American Tim Fain is well screw for on_the_job with , was not .",SUPPORTED
"Composer Franz Schreker was besides a high cultivate instructor but the composer , who American Violinist Tim Fain is good know for running with , was not .",NOT_SUPPORTED
"Composer Franz Schreker was as_well a instructor but the composer , who Slovenian Violinist Tim Fain is good know for go with ,   was not",NOT_SUPPORTED
In the 2009 the Major League Soccer All - Star Game an American participant save three kicking in the gunfight . Des McAleenan at_one_time coach this player who make_for for Colorado Rapids for six season .,NOT_SUPPORTED
In the 2009 the Major League Soccer All - Star Game an American player lay_aside three rush in the shootout . Des McAleenan one_time coach this role_player who play for Colorado Rapids .,SUPPORTED
This tennis player win a Grand Slam double championship before the Australian Heather Watson . He besides South_Korean_won the 2012 Open Sud de France – Doubles .,NOT_SUPPORTED
This lawn_tennis player succeed a Grand Slam stunt_woman title before Heather Watson . He too gain the 2012 Open Sud de France – Doubles .,SUPPORTED
The television_set serial Soul Mates starred Christian Van Vuuren and an thespian . Australian Broadcasting Corporation aviation the show develop by the worker .,SUPPORTED
The goggle_box series Soul Mates star Christian Van Vuuren and an actor . Aboriginal_Australian Broadcasting Corporation atmosphere the adult animated_cartoon develop by the actor .,NOT_SUPPORTED
The tv series Soul Mates starred Christian Van Vuuren and an actor . Australian Broadcasting Corporation air_out the cartoon grow by the player .,SUPPORTED
The TV series Soul Mates asterisk Trent and an role_player . Australian Broadcasting Corporation air the toon originate by the player .,NOT_SUPPORTED
Piestewa Parkway is   identify after a native American cleaning_lady belonging to the native American kin_group .,SUPPORTED
Piestewa Parkway is name after a indigen American_English woman .,SUPPORTED
Piestewa Parkway is   identify after a Hopi charwoman belong to the Hopi clan .,SUPPORTED
"The actor , who Co - star with   Nitin Sahrawat in STAR Plus Qubool Hai , is screw for negative role in the dramatic_play series that broadcast on Amerindic commonwealth 's Star Plus mesh .",NOT_SUPPORTED
"The thespian , who Co - star with   Nitin Sahrawat in ZEE TV 's Qubool Hai , is experience for negative office in the dramatic_event series that circularize on Indian land 's Star Plus network .",SUPPORTED
"The player , who CO - virtuoso with   Nitin Sahrawat in ZEE TV 's Qubool Hai , is be_intimate for negative purpose in the dramatic_event series that transmit on Red_Indian rural_area 's STAR One network .",NOT_SUPPORTED
"The Dutch player , who CO - whizz with Nitin Sahrawat in ZEE TV 's Qubool Hai , is roll_in_the_hay for negative role in the play series that disperse on Indian state 's Star Plus electronic_network .",NOT_SUPPORTED
"The worker , who atomic_number_27 - wiz with   Nitin Sahrawat in ZEE TV 's Gautam , is know for negative character in the dramatic_event serial that circularise on American-Indian_language country 's Star Plus network .",NOT_SUPPORTED
"The actor , who atomic_number_27 - whiz with Nitin Sahrawat in Qubool Hai , is have_intercourse for negative part in the drama series that pass_around on Indian nation 's Star Plus network .",SUPPORTED
"The three considerably marketer from the writer of Detective ( novel ) that were loose before Donna Tartt was gestate are "" Hotel""and "" Airport "" , from the 1960 's , and "" bicycle "" from the 1970 's .",SUPPORTED
"The three good vender from the author of Detective ( new ) that were discharge before Donna Tartt was contain in 1980 are "" hotel "" ( 1965 ) , "" Airport "" ( 1968 ) , "" wheel_around "" ( 1971 ) .",NOT_SUPPORTED
"The three Charles_Herbert_Best vender from the source of Detective ( novel ) that were unfreeze before Donna Tartt was bear are "" hotel "" ( 1965 ) , "" Airport "" ( 1968 ) , "" Perfect Chemistry "" ( 1971 ) .",NOT_SUPPORTED
"The three serious seller from the generator of Detective ( fresh ) that were relinquish before Donna Tartt was have are "" hotel "" ( 1965 ) , "" Airport "" ( 1968 ) , "" roll "" ( 1971 ) .",SUPPORTED
"The Republican Chairman   gestate June 1 , 1956 , was a frequent of The Keeping All Students Safe Act with Tom Harkin and George Miller .",SUPPORTED
"The Republican Chairman hold June 1956 , was a frequent of The Keeping All Students Safe Act with Tom Harkin and George Miller .",SUPPORTED
"The Republican Chairman take_over June 1 , 1956 , was a major shop of The Keeping All Students Safe Act with Tom Harkin and George Miller .",SUPPORTED
"Greek Fire originate in 1998 in a more southern location than Smashing Pumpkins , a band look by the Godhead of Constantinople Records .",NOT_SUPPORTED
"Greek Fire spring_up in a to_a_greater_extent southern localization than Mellon Collie , a band front by the Jehovah of Constantinople Records .",NOT_SUPPORTED
"Greek Fire rise in a southern emplacement than Smashing Pumpkins , a band look by the creator of Constantinople Records .",SUPPORTED
"Greek Fire start in a more_than southern location than Smashing Pumpkins , a band face by the Jehovah of Constantinople Records .",SUPPORTED
"Greek Fire was not uprise in a more southern fix than Smashing Pumpkins , a band face by the Godhead of Constantinople Records .",NOT_SUPPORTED
The writer and director of this film is Filipino . The flick too starred Kari Matchett .,NOT_SUPPORTED
The award - gain writer and film_director of this celluloid is American_English . The shoot as_well star Kari Matchett .,NOT_SUPPORTED
The writer and music_director of this film is American . The cinema too star Kari Matchett .,SUPPORTED
"The publisher and moving-picture_show ship's_company Marvel bring_forth the comic Koran sport both the family of championship that Maximum Carnage is divide of , and the Daredevils .",NOT_SUPPORTED
"The publisher Marvel make the Good_Book feature both the family of entitle that Maximum Carnage is section of , and the Daredevils .",SUPPORTED
"The publisher Marvel produce the comic book have both the family of deed that Maximum Carnage is part of , and the Daredevils .",SUPPORTED
The area where the Changle River spring_up was once call Linchuan District .,SUPPORTED
The field where the Changle River arise give_birth Thomas_More sometime name than Linchuan District .,SUPPORTED
The area where the Changle River initiate make to_a_greater_extent erstwhile constitute than Linchuan District .,SUPPORTED
The area where the Changle River spring_up hour_angle six More former names than Linchuan District .,NOT_SUPPORTED
"The Blueprint is the refer of an outtake record_album that was release in 2001 and is range by Rolling Stone among the 500 expectant record_album of all meter . The vocalizer on that 2001 album besides have a single bid "" Hard Knock Life ( Ghetto Anthem ) "" .",SUPPORTED
"The Blueprint is the name of an record_album that was secrete in 2001 and is outrank by Rolling Stone among the 500 great album of all time . The Singer on that 2001 album as_well hold a ace visit   "" Hard Knock Life ( Ghetto Anthem ) "" .",SUPPORTED
The city of the college that Nancy R. Howell is a Theology Professor in and United Methodist Church of the Resurrection have in common is Kansas .,SUPPORTED
The metropolis of the college that Nancy R. Howell is a Professor in and United Methodist Church of the Christ's_Resurrection have in vernacular is Kansas .,SUPPORTED
A Pottawatomie slaughter upshot know was Bleeding Kansas was largely bring about by the Missouri Compromise and the act which make the terrirtories of Kansas and Nebraska and was battle by the Republican Party .,SUPPORTED
A Pottawatomie carnage event have_it_away was Bleeding Kansas was largely bring_in about by the Missouri Compromise and the 1862 human_action which make the terrirtories of Kansas and Nebraska and was battle by the Republican Party .,NOT_SUPPORTED
"In the year 2016 , the team that a association_football thespian join in 2006 move to its fresh home . This soccer player is the grandson of French Art Spector .",NOT_SUPPORTED
"In the year 2016 , the team_up that a soccer player conjoin in 2006 move to its new abode . This soccer actor is the grandson of Art Spector .",SUPPORTED
"In the class 2016 , the squad that a association_football player joined in 2006 move to its fresh home . This soccer histrion is relate to Art Spector .",SUPPORTED
"The run , during which the Battle of Harlem was fight as persona of the American Revolutionary War , was a series of involution for control of New York City and the posit of New Jersey , push on October 28 , 1776 near White Plains , New York .",SUPPORTED
"The political_campaign , during which the Battle of Harlem was contend as break_up of the American Revolutionary War , was a series of booking for ensure of New York City and the state of New Jersey , fight_back on October 28 , 1776 near White Plains , New York .",SUPPORTED
"The effort , during which the Battle of Harlem was crusade , was a series of appointment for control of New York City and the state of New Jersey , defend in the 1700s near White Plains , New York .",SUPPORTED
"The press , during which the Battle of Harlem was fight as function of the Battle of Long Island , was a series of mesh for ascertain of New York City and the land of New Jersey , fight on October 28 , 1776 near White Plains , New York .",NOT_SUPPORTED
"The take_the_field , during which the initiatory Battle of Harlem was fight as set_off of the American Revolutionary War , was a series of engagement for ascendance of New York City and the express of New Jersey , defend on October 28 , 1776 near White Plains , New York .",NOT_SUPPORTED
"The Battle of White Plains was the net campaign , during which the Battle of Harlem was defend as portion of the American Revolutionary War , was a series of struggle for controller of New York City and the state of New Jersey , fight_back on October 28 , 1776 near White Plains , New York .",NOT_SUPPORTED
"The push , during which the Battle of Harlem was push , was a series of fight for control of New York City and the state of New Jersey , campaign in the 1700s near White Plains , New York .",SUPPORTED
"Michael Akerfeldt and the Sonic Youth bandmate of Thurston Moore , were bass guitarist in their respective band .",NOT_SUPPORTED
"Michael Akerfeldt and the bandmate of Thurston Moore , were guitarist in their various band .",SUPPORTED
"Michael Akerfeldt and the Sonic Youth bandmate of Thurston Moore , were guitarist in their several striation .",SUPPORTED
"Simon Fair Timony and the Sonic Youth bandmate of Thurston Moore , were guitar_player in their several striation .",NOT_SUPPORTED
An American rock band release My Animal in the bound on 2003 . This banding have more studio record_album than The Invisible .,NOT_SUPPORTED
An American_English rock set free My beast . This band feature Thomas_More studio album than The Invisible .,SUPPORTED
An Mandarin shake band expel My animal . This band birth more studio album than The Invisible .,NOT_SUPPORTED
"The musican , whose vocal_music on the graphics of Life 1993.12.31 Tokyo Dome survive concert were recent relate up by software_package , and Warrel Dane are not both in the stripe Sanctuary .",NOT_SUPPORTED
A wooden oak roller coaster at Holiday World is site at a theme Park divide into four segment .,NOT_SUPPORTED
A wooden roll coaster at Holiday World is settle at a composition ballpark carve_up into four section .,SUPPORTED
"This case as sport in the funny book , Hellblazer Special : Bad Blood . He is   is the fancied antihero from comic volume put_out by DC Comics , who sometimes act as a cab driver , and was make by Alan Moore , Steve Bissette , and John Totleben .",SUPPORTED
"This role as featured in the 1990 comedian Word , Hellblazer Special : Bad Blood . He is is the fictional antihero from comic Koran release by DC Comics , who sometimes act as a taxicab driver , and was create by Alan Moore , Steve Bissette , and John Totleben .",NOT_SUPPORTED
"This character as have in the amusing Good_Book , Hellblazer Special : Bad Blood . He is   is the fancied antihero from amusing Word put_out by DC Comics , who sometimes act as a taxicab driver , and was create by Alan Moore , Jim Valentino , and John Totleben .",NOT_SUPPORTED
Quietdrive and this radical are both rock_music striation . The isthmus was sign by Mike Smith ( Supergrass Records Man ) .,SUPPORTED
Quietdrive and this group are both sway banding . The band was sign by Mike Smith ( A&R humankind ) in 1999 .,NOT_SUPPORTED
"The jock , a modifier for the 2009 Manitoba Scotties Tournament of Hearts as prevail champion , was the captain of the Au medalist curling team for Canada at the Sochi Winter Olympics .",SUPPORTED
"The athlete , a modifier for the 2009 Manitoba Scotties Tournament of Hearts as regnant adept , was the skipper of the gold medallist coil team for Canada at the Winter Olympics .",SUPPORTED
"The athlete , a qualifier for the June 2009 Manitoba Scotties Tournament of Hearts as prevail wizard , was the captain of the gilded medal_winner draw_in team for Canada at the Sochi Winter Olympics .",NOT_SUPPORTED
"Avram Noam Chomsky and the source of Memed , My Hawk , have compose more than 100 account_book .",NOT_SUPPORTED
"Avram Noam Chomsky , not the author of Memed , My Hawk , has writen Sir_Thomas_More   al-Qur'an .",SUPPORTED
"Avram Noam Chomsky , not the author of Memed , My Hawk , has writen more than 100 book .",SUPPORTED
"Avram Noam Chomsky , not the generator of Memed , My Hawk , has writen Sir_Thomas_More than 100 nonfictional_prose ledger .",NOT_SUPPORTED
Both the typecast of species that Ixia polystachya is and Rhexia are a plant genus .,SUPPORTED
Both the typecast of coinage that Ixia polystachya is and Rhexia are a genus .,SUPPORTED
"The 1935 propaganda infotainment , on which Karl Attenberger do_work with Leni Riefenstahl , and The end of America were not both made in the Lapp year .",SUPPORTED
"The 1935 propaganda documentary_film , on which thespian Karl Attenberger work_out with Leni Riefenstahl , and The end of America were not both make in the Same yr .",SUPPORTED
"The 1935 propaganda documental , on which Karl Attenberger work with Leni Riefenstahl , and The closing of America were not both make in the Lapp calendar_week .",SUPPORTED
"The 1935 propaganda documentary , on which Karl Attenberger work with Teodor Currentzis , and The ending of America were not both make in the same year .",NOT_SUPPORTED
"A dealership newsboy make in 1978 control aircraft in full British Airways liverish and have its briny nucleotide at OR Tambo International Airport , Johannesburg . KLM have an 18 % game in this franchise carrier .",NOT_SUPPORTED
"A franchise attack_aircraft_carrier manoeuvre aircraft in replete British Airways legal_transfer and ingest its main basal at Oregon King Shaka International Airport , Johannesburg . KLM make an 18 % post in this franchise mailman .",NOT_SUPPORTED
"A franchise carrier manoeuver aircraft in to_the_full British Airways livery and let its independent Qaeda at OR Tambo International Airport , Johannesburg . KLM have an 18 % post in this franchise carrier .",SUPPORTED
"A franchise carrier function aircraft in fully British Airways livery and possess its principal base at OR Tambo International Airport , Johannesburg . Mango get an 18 % stake in this dealership flattop .",NOT_SUPPORTED
A player in the summer 2013 Big Ten Conference football season was result by Kevin Reece Wilson . He is the flow offense coordinator at Ohio State .,SUPPORTED
A participant in the 2013 Big Ten Conference football_game season was lead by Kevin Reece Wilson . He is the stream nauseating coordinator at Ohio State .,SUPPORTED
A player in the 2013 Big Ten Conference football_game season was direct by Kevin Reece Wilson . He is the current unsavoury coordinator at the Indiana University .,NOT_SUPPORTED
"The TV prove bare on KidsClick 's programming block on a Sunday . A vocal from La La Land , a Wax Fung album , check a song featured on an American Dad episode of the Same name as the show .",NOT_SUPPORTED
The home of F.C. Daburiyya is east of a metropolis where 30.9 % of its citizen are Christian .,SUPPORTED
The home of F.C. Daburiyya is 8 km Orient of a senior_high_school - altitude city where 30.9 % of its citizen are Christian .,NOT_SUPPORTED
The place_of_birth of Wu Jiaduo and Gongqingcheng are both county - level city that are locate in China .,SUPPORTED
The provenance of Wu Jiaduo and Gongqingcheng are both urban_center that are locate in China .,SUPPORTED
The birthplace of Wu Jiaduo and Gongqingcheng are both county - level city that are set in southern China .,NOT_SUPPORTED
The football grind that deem The UEFA Euro 2012 Final is in this multi - exercise skylark and diversion adeptness in England that currently house professional football_game baseball_club Dynamo Kyiv .,NOT_SUPPORTED
The football land that hold The UEFA Euro 2012 Final is in this multi - use boast and recreation facility that presently house professional football club Dynamo Kyiv .,SUPPORTED
"The Austrian Poet - Dliplomat who likewise South_Korean_won the Nobel Prize in Literature , and Alan Sillitoe were both writer .",NOT_SUPPORTED
"The Poet - Dliplomat who too gain a Prize in Literature , and Alan Sillitoe were both writer .",SUPPORTED
"The Poet - Dliplomat who likewise win the Nobel Prize in Literature , and Alan Sillitoe were both writer .",SUPPORTED
"The chopine , for which the make gun Proof of Destruction was formulate , and Prológica CP-400 were not from the Lapp state .",SUPPORTED
"The program , for which the 1987 furbish_up taw Proof of Destruction was recrudesce , and Prológica CP-400 were not from the same nation .",SUPPORTED
"The gambling platform , for which the 1987 set hit_man Proof of Destruction was explicate , and Prológica CP-400 were not from the same nation .",NOT_SUPPORTED
"The weapons_platform , for which the 1987 specify crap-shooter Proof of Destruction was rise , and Prológica CP-400 were from the same commonwealth .",NOT_SUPPORTED
The Moomin serial Book that Moominvalley in November come after was release in 1965 . It is a at_large mention to a novel save by the Suomi author Ernest Hemingway .,NOT_SUPPORTED
The Moomin serial volume that Moominvalley in November come_in after was put_out in 1965 . It is a informal mention to a fresh drop_a_line by the American source Snufkin .,NOT_SUPPORTED
The Moomin series Quran that Moominvalley in November come after was print in January 1965 . It is a let_loose reference_work to a fresh spell by the American writer Ernest Hemingway .,NOT_SUPPORTED
The Moomin series record that Moominvalley in November add_up after was publish in 1965 . It is a loose reference to a novel scripted by the American writer Ernest Hemingway .,SUPPORTED
"The university Richard J. Wood in Connecticut is a prof of maths at get more_than campus than California State Polytechnic University , Pomona .",NOT_SUPPORTED
